fecha,boletin,titulo,status,fecha_sort,boletin
02/12/2020,13931-03,Garantiza el derecho a retracto a los consumidores de comercio electrónico.,En tramitación,2020/12/02,13931-03
18/11/2020,13914-13,Establece un retiro único y extraordinario de fondos previsionales en las condiciones que indica.,Publicado,2020/11/18,13914-13
17/11/2020,13904-11,"Modifica el Código Sanitario en materia de etiquetado y comercialización de productos alimenticios, en relación con sus fechas de elaboración y vencimiento",En tramitación,2020/11/17,13904-11
16/11/2020,13892-11,"Regula el precio de los exámenes y procedimientos de apoyo diagnóstico y clínico, así como la obligatoriedad de informarlo públicamente.",En tramitación,2020/11/16,13892-11
28/10/2020,13862-03,Sobre consolidación de deudas.,En tramitación,2020/10/28,13862-03
27/10/2020,13858-03,"Modifica la ley Nº19.496, que establece normas sobre protección de los derechos de los consumidores, para consagrar el derecho a recibir el producto en la fecha acordada, sancionar su infracción, y establecer compensación en favor del consumidor ante el retardo en la entrega",En tramitación,2020/10/27,13858-03
23/10/2020,13841-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para tipificar y sancionar modalidades de abuso por parte de los proveedores en contratos de adhesión",En tramitación,2020/10/23,13841-03
30/09/2020,13815-05,"Fortalece la descentralización financiera de los Gobiernos Regionales, establece normas sobre responsabilidad fiscal y crea fondos que indica.",En tramitación,2020/09/30,13815-05
11/08/2020,13708-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, en lo relativo a su ámbito de aplicación",En tramitación,2020/08/11,13708-03
10/08/2020,13700-03,"Extiende la cobertura de las garantías exigidas en el marco de la contratación pública, al cumplimiento de las obligaciones contraídas en favor de las empresas de menor tamaño (MIPYME) a que se refiere la ley Nº20.416",En tramitación,2020/08/10,13700-03
05/08/2020,13691-07,"Modifica la ley N°18.287, que Establece procedimiento ante los Juzgados de Policía Local, para autorizar la realización, dentro del procedimiento ordinario, de la audiencia de contestación y prueba por medios telemáticos",En tramitación,2020/08/05,13691-07
29/07/2020,13680-06,"Regula el cierre temporal de las ferias libres y establece medidas sanitarias para su funcionamiento, durante la vigencia del estado de catástrofe motivado por la pandemia de Covid-19",En tramitación,2020/07/29,13680-06
28/07/2020,13676-03,"Proyecto de ley que regula días y horas para efectuar las gestiones de cobranza extrajudicial previstas en la ley N° 19.496, de Protección al Consumidor, y fija una norma transitoria sobre la materia durante los estados de excepción constitucional",En tramitación,2020/07/28,13676-03
22/07/2020,13667-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para exigir etiquetado de seguridad en productos de aseo doméstico",En tramitación,2020/07/22,13667-03
21/07/2020,13659-03,"Proyecto de ley que prohíbe excepcionalmente el cobro de multas, intereses, utilización de cláusulas de aceleración, gastos de cobranza judicial y extrajudicial, publicación de morosidades, y llamadas de cobranza, en el periodo que se indica, desde la declaración del estado de catástrofe causado por el Covid-19.",En tramitación,2020/07/21,13659-03
21/07/2020,13662-07,"Modifica la Carta Fundamental, para incorporar a los ministros del Tribunal Constitucional, entre las autoridades susceptibles de ser acusadas constitucionalmente",En tramitación,2020/07/21,13662-07
15/07/2020,13654-03,"Proyecto de ley que fija las tasas de intercambio máximas a ser cobradas por los emisores en el mercado de medios de pago a través de tarjetas de crédito, débito y prepago.",En tramitación,2020/07/15,13654-03
15/07/2020,13653-05,Proyecto de ley que establece un financiamiento con aporte fiscal para la protección de los ingresos de la clase media en los casos que indica,Publicado,2020/07/15,13653-05
07/07/2020,13636-07,Proyecto de reforma constitucional que consagra el derecho a la alimentación y la promoción la soberanía alimentaria.,En tramitación,2020/07/07,13636-07
01/07/2020,13637-13,"Modifica el decreto ley N°3.500, que Establece un nuevo sistema de pensiones, para establecer un mecanismo transitorio de retiro parcial y posterior reintegro de los fondos previsionales, con ocasión de la declaración de un estado de excepción constitucional de catástrofe por calamidad pública, que signifique grave riesgo para la salud o vida de las personas",En tramitación,2020/07/01,13637-13
01/07/2020,13627-07,"Modifica la Carta Fundamental, para establecer un mecanismo transitorio de retiro parcial y posterior reintegro de los fondos previsionales, con ocasión de la declaración de un estado de excepción constitucional de catástrofe por calamidad pública, que signifique grave riesgo para la salud o vida de las personas",Publicado,2020/07/01,13627-07
25/06/2020,13615-05,Establece medidas tributarias que forman parte del plan de emergencia para la reactivación económica y del empleo,Publicado,2020/06/25,13615-05
24/06/2020,13616-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, en materia de restitución del valor pagado cuando la compra, efectuada por medios electrónicos o a distancia, se hubiere interrumpido u obstaculizado por razones no imputables al cliente",En tramitación,2020/06/24,13616-03
23/06/2020,13597-04,"Modifica diversos cuerpos legales, en materia de control de la calidad de la alimentación entregada en el sistema escolar, así como de transparencia de la información al respecto, proporcionada a los padres y apoderados",En tramitación,2020/06/23,13597-04
23/06/2020,13623-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para regular las opciones del cliente ante el retardo o no entrega, del bien comprado",En tramitación,2020/06/23,13623-03
21/06/2020,13599-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, en materia de contratos celebrados por medios electrónicos, y en las ventas a distancia",En tramitación,2020/06/21,13599-03
16/06/2020,13587-04,"Modifica la ley N°15.720, que Crea la Junta Nacional de Auxilio Escolar y Becas, para prohibir la contratación con este servicio a empresas que hayan infringido gravemente contratos anteriores, y sancionar la infracción a las bases de licitación, durante la vigencia de un estado de excepción constitucional de catástrofe o de un decreto de alerta sanitaria",En tramitación,2020/06/16,13587-04
16/06/2020,13588-07,"Modifica diversos cuerpos legales con el objeto de mejorar la persecución del narcotráfico y crimen organizado, regular el destino de los bienes incautados en esos delitos y fortalecer las instituciones de rehabilitación y reinserción social",En tramitación,2020/06/16,13588-07
10/06/2020,13578-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para aumentar la sanción aplicable al que suspendiere, paralizare o no prestare, sin justificación, un servicio domiciliario básico, incluido el de internet, previamente contratado",En tramitación,2020/06/10,13578-03
09/06/2020,13573-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para prohibir acciones de cobranza extrajudicial de deudas contraídas con proveedores de bienes y servicios de primera necesidad, durante un estado de excepción constitucional de catástrofe",En tramitación,2020/06/09,13573-03
02/06/2020,13560-03,"Modifica la ley N°20.720, que Sustituye el régimen concursal vigente por una ley de reorganización y liquidación de empresas y personas, y perfecciona el rol de la Superintendencia del ramo, para facilitar el acceso al procedimiento concursal de renegociación de la persona deudora",En tramitación,2020/06/02,13560-03
